flyer_name,product_name,unit_promo_price,uom,least_unit_for_promo,save_per_unit,discount,organic
week_1_page_1,Ground Sirloin or Round,4,lb,1,4,0.5,0
week_1_page_1,Whole Ribeyes & Strips,6.99,lb,1,3,,0
week_1_page_1,Whole Chicken,,,1,1.3,0.5,0
week_1_page_1,Sockeye Salmon Fillets,14.99,lb,1,10,,0
week_1_page_1,Bone-In Pork Chops,4.99,lb,1,2,,0
week_1_page_1,Organic Red & Green Seedless Grapes,2.99,lb,1,2,,0
week_1_page_1,Blueberries,2.5,1 Pint,2,3.49,,0
week_1_page_1,Wild Bourbon Salmon Fillets,,5 oz,2,1.75,0.5,0
week_1_page_1,Blackened Chicken Salad,7.99,lb,1,2,,0
week_1_page_1,Hass Avocados,1.25,,4,0.25,,0
week_1_page_1,Organic Strawberries,,lb,2,3,0.5,0
week_1_page_2,Energy Seed Salad,3.99,7 oz,1,1,,0
week_1_page_2,Organic Juice,,20 oz,1,1,,1
week_1_page_2,Edamame Dumpling Salad,6.99,lb,1,2,,0
week_1_page_2,Hamburger & Hot Dog Buns,3.99,17 oz,1,0.5,,0
week_1_page_2,10-Pack Mini Cookies,3.99,,1,0.5,,0
week_1_page_2,Fruit Galettes,6.99,20 oz,1,2,,0
week_1_page_2,Morning Rounds,3.99,6 Pack,1,0.5,,0
week_1_page_2,Pre-Sliced Snack Packs,1.99,1.5 oz,1,0.5,,0
week_1_page_2,Pinot Grigio,10.99,4 can,1,2,,0
week_1_page_2,Chicken Breast,9,750 ml,1,1,,0
week_1_page_2,BRAND WIDE SALE,,,1,,0.1,0
week_1_page_3,Yogurt,2,8 oz,2,49,,0
week_1_page_3,Non-Dairy Ice Cream,4..99,1 Pint,1,1,,0
week_1_page_3,Nutritional Bars,1,1.4-1.8 oz,10,0.79,,0
week_1_page_3,Energy Drink,2,8-16 oz,2,0.99,,0
week_1_page_3,Condiments,,10-32 oz,1,,0.2,0
week_1_page_3,Organic Cereal,3.5,10-14 oz,2,0.99,,1
week_1_page_3,BRAND WIDE SALE,,,1,,0.2,0
week_1_page_3,Nordic Berries & Assorted Gummies,,every serving,1,,0.2,0
week_1_page_3,Grass Fed Whey Powder,24.99,10 serving,1,10,,0
week_1_page_3,Spring & Distilled Water,0.99,1 gallon,1,,,0
week_1_page_3,Lemonade & Limeade,2.5,64 oz,1,0.49,,0
week_1_page_3,Coffee,2.49,& quart,1,0.5,,0
week_1_page_3,Coffee,5.99,,1,2,,0
week_1_page_3,Lemonade & Limeade,,64 oz,1,0.49,0.5,0
week_1_page_4,Key West Pink Shrimp,14.99,lb,1,4,0.21,0
week_1_page_4,NY Strips,14.99,lb,1,2,0.12,0
week_1_page_4,Beef Steak or Filet Kebobs,,lb,1,3,,0
week_1_page_4,Asparagus,3.49,lb,1,1.5,,0
week_1_page_4,Peaches,1.99,lb,1,1,,0
week_1_page_4,Organic Grape Tomatoes,3.5,1 Pint,2,0.49,,1
week_1_page_4,5-Pack Non-GMO Corn,3.49,,1,1.5,,0
week_1_page_4,BRAND WIDE SALE,,,1,,0.2,0
week_1_page_4,Rainbow Coloured & Red Roses,8.99,,1,2,,0
week_1_page_4,Clothbound Cheddar,13,lb,1,11,0.44,0
week_1_page_4,Super Lump Crab Cakes,4,3 oz,3,,,0
week_1_page_4,Mixed Fruit Tub,3.49,lb,1,0.5,0.13,0
week_2_page_1,Chicken Breast,,,1,3,0.5,0
week_2_page_1,Wild Alaska Cod Fillets,,Fr oz,1,10,0.5,0
